date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,135,Call,57.3,58.6,0.8399,0.9878,0.0009,-0.0552,0.0118,0.0506
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,135,Put,0,0.03,0.6958,-0.0035,0.0004,-0.0099,0.004,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,140,Call,52.3,53.7,0.7923,0.984,0.0013,-0.0629,0.015,0.0523
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,140,Put,0.01,0.03,0.6309,-0.0039,0.0004,-0.0098,0.0044,-0.0003
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,145,Call,47.3,48.6,0.6743,0.987,0.0013,-0.0512,0.0125,0.0544
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,145,Put,0.01,0.02,0.544,-0.0031,0.0004,-0.0068,0.0035,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,150,Call,42.35,43.7,0.6443,0.9802,0.0019,-0.0632,0.018,0.0558
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,150,Put,0.01,0.02,0.4849,-0.0034,0.0005,-0.0067,0.0039,-0.0002
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,155,Call,37.35,38.7,0.5662,0.9788,0.0023,-0.061,0.0191,0.0576
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,155,Put,0.01,0.03,0.4468,-0.0054,0.0009,-0.0092,0.0058,-0.0004
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,160,Call,32.4,33.75,0.5128,0.9722,0.0033,-0.0669,0.024,0.059
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,160,Put,0.03,0.04,0.3954,-0.007,0.0013,-0.0101,0.0073,-0.0005
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,162.5,Call,29.85,31.15,0.4407,0.9789,0.003,-0.0534,0.019,0.0605
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,162.5,Put,0.02,0.05,0.3661,-0.0075,0.0015,-0.01,0.0078,-0.0005
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,167.5,Call,24.95,26.3,0.4169,0.9618,0.0052,-0.0702,0.0312,0.0611
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,167.5,Put,0.05,0.06,0.3271,-0.0125,0.0026,-0.0139,0.0122,-0.0009
2024-01-01 00:00:00 +0000 UTC,AAPL,2024-01-12 00:00:00 +0000 UTC,172.5,Call,20,21.2,0.3342,0.9593,0.0069,-0.0636,0.0329,0.0629
